Name,LocalizedName,FileName,Enabled,SystemFont,ForcedFontFullName,WordListName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftMetadataLanguage,LevelUpHeaderImage,ReputationLevelUpHeaderImage,TermsOfServiceURL,PrivacyPolicyURL,ParentsGuideURL,BonusRoundHeaderImage,SelfHelpURL,ScidLoginPopupImage
String,String,String,boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String
EN,English,localization/texts.csv,true,,,english,en,,EN,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_EN.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
DE,Deutsch,localization/de.csv,true,,,german,de,,DE,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_DE.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_DE.png,https://supercell.com/en/terms-of-service/de/,https://supercell.com/en/privacy-policy/de/,https://supercell.com/en/parents/de/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_DE.png,https://ingame.help.supercellsupport.com/hay-day/de/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
ES,Español,localization/es.csv,true,,,spanish,es,,ES,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_ES.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_ES.png,https://supercell.com/en/terms-of-service/es/,https://supercell.com/en/privacy-policy/es/,https://supercell.com/en/parents/es/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_ES.png,https://ingame.help.supercellsupport.com/hay-day/es/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
FR,Français,localization/fr.csv,true,,,french,fr,,FR,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_FR.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_FR.png,https://supercell.com/en/terms-of-service/fr/,https://supercell.com/en/privacy-policy/fr/,https://supercell.com/en/parents/fr/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_FR.png,https://ingame.help.supercellsupport.com/hay-day/fr/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
IT,Italiano,localization/it.csv,true,,,italian,it,,IT,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_IT.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_IT.png,https://supercell.com/en/terms-of-service/it/,https://supercell.com/en/privacy-policy/it/,https://supercell.com/en/parents/it/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_IT.png,https://ingame.help.supercellsupport.com/hay-day/it/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
NL,Nederlands,localization/nl.csv,true,,,dutch,nl,,NL,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_NL.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_NL.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents/nl/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_NL.png,https://ingame.help.supercellsupport.com/hay-day/nl/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
NO,Norsk,localization/no.csv,true,,,norwegian,nb,no,NO,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_NO.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_NO.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_NO.png,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
PT,Português,localization/pt.csv,true,,,portuguese,pt,pt_BR,PT,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_PT.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_PT.png,https://supercell.com/en/terms-of-service/pt/,https://supercell.com/en/privacy-policy/pt/,https://supercell.com/en/parents/pt/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_PT.png,https://ingame.help.supercellsupport.com/hay-day/pt/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
TR,Türkçe,localization/tr.csv,true,,,turkish,tr,,TR,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_TR.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_TR.png,https://supercell.com/en/terms-of-service/tr/,https://supercell.com/en/privacy-policy/tr/,https://supercell.com/en/parents/tr/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_TR.png,https://ingame.help.supercellsupport.com/hay-day/tr/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
DA,Dansk,localization/da.csv,true,,,danish,da,,DA,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_DA.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_DA.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_DA.png,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
SV,Svenska,localization/sv.csv,true,,,swedish,sv,,SV,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_SV.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_SV.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_SE.png,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
ID,Bahasa Indonesia,localization/id.csv,true,,,indonesian,id,in,id,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_ID.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_ID.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents/id/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_ID.png,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
RU,Pусский,localization/ru.csv,true,HelveticaNeue-Bold,,russian,ru,,RU,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_RU.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_RU.png,https://supercell.com/ru/terms-of-service,https://supercell.com/ru/privacy-policy,https://supercell.com/ru/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_RU.png,https://ingame.help.supercellsupport.com/hay-day/ru/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
CH,简体中文,localization/ch.csv,true,STHeitiSC-Medium,,chinese,zh-Hans,zh_CN,CN,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_CH_(Simplified).png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_CH_(Simplified).png,https://supercell.com/en/terms-of-service/cn/,https://supercell.com/en/privacy-policy/cn/,https://supercell.com/en/parents/cn/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_CH_(Simplified).png,,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
CHT,繁體中文,localization/cht.csv,true,STHeitiSC-Medium,,chinese,zh-Hant,zh_TW,CNT,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_CH_(Traditional).png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_CH_(Traditional).png,https://supercell.com/en/terms-of-service/tw/,https://supercell.com/en/privacy-policy/tw/,https://supercell.com/en/parents/tw/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_CH_(Traditional).png,https://ingame.help.supercellsupport.com/hay-day/zh/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
JP,日本語,localization/jp.csv,true,HiraKakuProN-W6,,japanese,ja,,JP,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_JP.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_JP.png,http://supercell.com/en/terms-of-service,http://supercell.com/en/privacy-policy,http://supercell.com/en/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_JP.png,https://ingame.help.supercellsupport.com/hay-day/ja/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
FI,Suomi,localization/fi.csv,true,,,finnish,fi,,FI,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_FI.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_FI.png,https://supercell.com/en/terms-of-service/fi/,https://supercell.com/en/privacy-policy/fi/,https://supercell.com/en/parents/fi/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_FI.png,https://ingame.help.supercellsupport.com/hay-day/fi/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
KR,한국어,localization/kr.csv,true,,,korean,ko,,KR,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_KR.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_KR.png,https://supercell.com/en/terms-of-service/ko/,https://supercell.com/en/privacy-policy/ko/,https://supercell.com/en/parents/ko/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_KR.png,https://ingame.help.supercellsupport.com/hay-day/ko/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
AR,العربية,localization/ar.csv,true,,,arabic,ar,,AR,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_AR.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_AR.png,https://supercell.com/en/terms-of-service/ar/,https://supercell.com/en/privacy-policy/ar/,https://supercell.com/en/parents/ar/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_AR.png,https://ingame.help.supercellsupport.com/hay-day/ar/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
MS,Bahasa Melayu,localization/ms.csv,true,,,malay,ms,,ms,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_MS.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_MS.png,http://supercell.com/en/terms-of-service,http://supercell.com/en/privacy-policy,http://supercell.com/en/parents/ms/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_MS.png,https://ingame.help.supercellsupport.com/hay-day/ms/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
VI,Tiếng Việt,localization/vi.csv,true,HelveticaNeue-Bold,Open Sans Bold,vietnamese,vi,,vi,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_VI.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_VI.png,http://supercell.com/en/terms-of-service,http://supercell.com/en/privacy-policy,http://supercell.com/en/parents/vi/,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_VI.png,https://ingame.help.supercellsupport.com/hay-day/vi/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
TH,ภาษาไทย,localization/th.csv,true,,,thai,th,,th,https://s3.amazonaws.com/soil-prod-assets/static/Level+up/levelup_TH.png,https://s3.amazonaws.com/soil-prod-assets/static/Reputation+level+up/rep_levelup_TH.png,http://supercell.com/en/terms-of-service,http://supercell.com/en/privacy-policy,http://supercell.com/en/parents,https://soil-prod-assets.s3.amazonaws.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_TH.png,https://ingame.help.supercellsupport.com/hay-day/th/index.html,https://s3.amazonaws.com/soil-prod-assets/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png
